observation_id,group_id,time,exposure,covariate,outcome
C037-2,G037,2,1,-0.693571,1
C037-3,G037,3,1,-0.693571,0
C037-4,G037,4,1,-0.693571,1
C038-0,G038,0,0,0.074707,1
C038-1,G038,1,0,0.074707,0
C038-2,G038,2,0,0.074707,0
C038-3,G038,3,0,0.074707,0
C038-4,G038,4,0,0.074707,1
C039-0,G039,0,1,-0.046057,1
C039-1,G039,1,1,-0.046057,0
C039-2,G039,2,1,-0.046057,1
C039-3,G039,3,1,-0.046057,0
C039-4,G039,4,1,-0.046057,1
C040-0,G040,0,0,2.169030,0
C040-1,G040,1,0,2.169030,0
C040-2,G040,2,0,2.169030,1
C040-3,G040,3,0,2.169030,0
C040-4,G040,4,0,2.169030,1
