observation_id,group_id,time,exposure,covariate,outcome
R024-0,G024,0,0,-0.214679,4.253760
R024-1,G024,1,0,-0.214679,4.221991
R024-2,G024,2,0,-0.214679,3.822258
R024-3,G024,3,0,-0.214679,4.468010
R024-4,G024,4,0,-0.214679,5.853269
R024-5,G024,5,0,-0.214679,5.781653
R025-0,G025,0,1,0.089510,4.342022
R025-1,G025,1,1,0.089510,4.906656
R025-2,G025,2,1,0.089510,5.627355
R025-3,G025,3,1,0.089510,5.607502
R025-4,G025,4,1,0.089510,6.624703
R025-5,G025,5,1,0.089510,7.302589
R026-0,G026,0,0,0.770105,0.937090
R026-1,G026,1,0,0.770105,1.052567
R026-2,G026,2,0,0.770105,0.899596
R026-3,G026,3,0,0.770105,1.043533
R026-4,G026,4,0,0.770105,3.140151
R026-5,G026,5,0,0.770105,2.300793
R027-0,G027,0,1,0.360326,3.174355
R027-1,G027,1,1,0.360326,4.251412
R027-2,G027,2,1,0.360326,4.670507
R027-3,G027,3,1,0.360326,5.511903
R027-4,G027,4,1,0.360326,4.981384
R027-5,G027,5,1,0.360326,5.795619
R028-0,G028,0,0,-0.429593,2.244561
R028-1,G028,1,0,-0.429593,2.745576
R028-2,G028,2,0,-0.429593,2.181544
R028-3,G028,3,0,-0.429593,4.892452
R028-4,G028,4,0,-0.429593,5.071102
R028-5,G028,5,0,-0.429593,5.324777
R029-0,G029,0,1,-0.426011,3.440466
R029-1,G029,1,1,-0.426011,3.632338
R029-2,G029,2,1,-0.426011,3.564323
R029-3,G029,3,1,-0.426011,5.430255
R029-4,G029,4,1,-0.426011,5.077616
R029-5,G029,5,1,-0.426011,6.379337
R030-0,G030,0,0,-0.146743,1.951581
R030-1,G030,1,0,-0.146743,1.951154
R030-2,G030,2,0,-0.146743,3.692424
R030-3,G030,3,0,-0.146743,4.096476
R030-4,G030,4,0,-0.146743,5.024950
R030-5,G030,5,0,-0.146743,5.100712
